property_name,property_address,Estate_name
"5bdrm Townhouse / Terrace in Garden Estate, Thome for rent",Garden estate Thome,Garden estate
"Furnished 4bdrm Farm House in Kyumbi, Athi River for Rent",Kyumbi,Kyumbi
Studio Apartment in Thindigua for rent,Kiambu road,Thindigua
"1bdrm Bedsitter in Vanga, Likoni for rent",Vanga,Vanga
2bdrm Apartment in Dagoretti Corner for rent,Ngong Rd,"200
     
      sqm"
Kenya Safehomes 2beroooms Apartments for Rent in Nakuru Medheal,Mediheal Blankets,Fairly Used
2bdrm Apartment in South B for rent,Newly-Built,Unfurnished
3bdrm Apartment in Madaraka for rent,Madaraka,Madaraka
3bdrm Apartment in Kileleshwa for rent,Likoni road,"188
     
      sqm"
"Furnished 1bdrm Bedsitter in Unity Apartment, Kitengela for rent",Behind St Monica church,Unity apartment
"3bdrm Mansion in Oasis, Kitengela for rent",YUKOS,OASIS
5bdrm Maisonette in Karen for rent,5 bedrooms stand alone house for rent in karen,"600
     
      sqm"
"3bdrm Bungalow in Matangi, Ruiru for rent",Fairy used 3 bedroom bungalow,Matangi
"3bdrm Bungalow in Ngata, Nakuru Town East for rent",Ngata,Ngata
3bdrm Apartment in Langata for rent,Dam estate,"110
     
      sqm"
"5bdrm Maisonette in Kangoya, Kiambu / Kiambu  for rent",kangoya,kangoya
2bdrm Apartment in Deliverance for Rent,Deliverance,Renovated
Furnished 2bdrm Apartment in Nyali Mkomani for rent,2nd avenue nyali,"130
     
      sqm"
"Furnished 2bdrm Apartment in School Groove, Westlands for rent",School Lane,School Groove
"1bdrm Apartment in Corner, Ruiru for rent",Corner,Corner
1bdrm Apartment in South B for Rent,Sanasana,Renovated
3bdrm Apartment in Madaraka for rent,madaraka,madaraka
2bdrm Apartment in Kiambu Town for rent,Kiambu Umoja Off Old Kiambu Road,Kiambu Town
1bdrm Apartment in South B for rent,South b,South b
4bdrm Bungalow in Kitengela for rent,Kitengela,"145
     
      sqm"
4bdrm Townhouse in Hardy for Rent,Karen hardy,Unfurnished
"2bdrm Apartment in Van Harvest, Kahawa Maziwa for Rent",maziwa road,Van Harvest
3bdrm Apartment in Kileleshwa for Rent,Nyeri Road,"225
     
      sqm"
"Mini Flat in Kwa Manji, Kiserian for rent",Kwa chief,Kwa manji
"Furnished 3bdrm Apartment in Jacaranda Gardens, Kahawa Maziwa for rent",Kamiti Road,Jacaranda Gardens
Spacious Master Ensuit One Bedroom Apartment in Muthiga,Mùthiga,Skyman Properties
"Furnished 2bdrm Apartment in Amani Court A, Katani for rent",Katani road,Amani court A Syokimart
3bdrm Apartment in Kilimani for rent,Elgeyo Markakwet road,"110
     
      sqm"
2bdrm Apartment in Kilimani for rent,Yaya center,"100
     
      sqm"
Elegant One Bedroom Flat In Westlands For Rent,Unfurnished,4
1bdrm Apartment in Hurlingham for Rent,Yaya Centre,Unfurnished
"3bdrm Apartment in Skyman Properties, Kikuyu for rent",Kikuyu,Skyman Properties
Furnished Studio Apartment in Kilimani for rent,Wood Avenue,Kilimani
"Furnished 1bdrm Apartment in Siaya Park, Kileleshwa for rent",Kagundo road,Siaya park
1bdrm Block of Flats in Ngumba Estate for rent,Behind Garden City Mall.,Ngumba estate
"3bdrm Apartment in Kisimani, Bombolulu for rent",KISIMANI,KISIMANI
Two Bedrooms Langata,Newly-Built,Standard
2bdrm Apartment in Langata for Rent,langata,Renovated
"2bdrm Apartment in Kirigiti -Loith, Kiambu / Kiambu  for rent",Kirigiti,Kirigiti -Loith apartment
Furnished 1bdrm Apartment in Westlands for Rent,School Lane,Newly-Built
"1bdrm Apartment in Eastern Bypass, Ruiru for Rent",Blessed Height,Eastern Bypass
3bdrm Maisonette in Langata for rent,Langata,Langata
"1bdrm Bedsitter in Msafiri, Gachami, Mahiga for rent",Opposite Rukira Polytechnic,"Msafiri, Gachami"
"1bdrm Room Parlour in Kambi Moto Sgr, Kandisi for Rent",METRO,Kambi Moto SGR
2bdrm Shared Apartment in Nubian Estate Kisumu for rent,Nubian Kisumu - Close to Brilliant Bar,Nubian Estate Kisumu
"2bdrm Bungalow in Katheka Kai Area, Junction for rent","Katheka Kai Area,Machakos town",Katheka Kai area
1bdrm Apartment in Katani Shopping for rent,Katani,Katani shopping center
2bdrm Apartment in Kiti for Rent,kiti,kiti
"2bdrm Apartment in Chaka Road, Kilimani for rent",Kilimani Nairobi,CHAKA ROAD
2bdrm Apartment in Kileleshwa for rent,Kileleshwa,Kileleshwa
3bdrm Bungalow in Ruiru Githunguri for rent,Spacious 3 bedroom bungalow,Ruiru githunguri
Mini Flat in Buruburu Estate for Rent,buruburu road,Buruburu estate
"5bdrm Maisonette in Gasharage, Ruaka for rent",Gasharage 1.5km from Two Rivers Mall,Gasharage
4bdrm Maisonette in Kitengela for rent,Kitengela Epz,"195
     
      sqm"
3bdrm Bungalow in Kitengela for rent,Kitengela,"138
     
      sqm"
3bdrm Apartment in Kilimani for rent,kirichwa road,"185
     
      sqm"
2bdrm Apartment in Ngoingwa for rent,thika,ngoingwa
2bdrm Apartment in Nyali for rent,Off Mt. Kenya road,"2500
     
      sqm"
2bdrm Apartment in Lavington for rent,lavington,lavington
House,Newly-Built,5
Studio Apartment in South B for rent,South b,South b
4bdrm Apartment in Nyali for rent,Mkomani,"2500
     
      sqm"
1bdrm Apartment in Bamburi for rent,Bamburi mtamboni,Bamburi
1bdrm Bedsitter in Karen for Rent,Hardy,Renovated
Furnished 1bdrm Apartment in Kileleshwa for rent,Kileleshwa,Kileleshwa
Furnished 3bdrm Apartment in Kilimani for rent,riara road,"180
     
      sqm"
"4bdrm Maisonette in Muigai Inn, Kenyatta Road / Theta  for rent","Kenyatta road,muigai inn",Muigai inn
"4bdrm Townhouse / Terrace in Kizingo, Mombasa CBD for rent",Statehouse Mombasa,Kizingo
3bdrm Bungalow in Karen for Rent,Bogani,Unfurnished
1bdrm Apartment in Rimpa Estate for rent,Rimpa,Rimpa Estate
Furnished 2bdrm Apartment in Kileleshwa for rent,Kileleshwa,Fairly Used
3bdrm Apartment in Lavington for rent,Lavington,Lavington
"3bdrm Maisonette in Komarock, Nairobi Central for rent",Komarock Sector 2,Komarock
4bdrm Townhouse / Terrace in Westlands for rent,Peponi Road,"210
     
      sqm"
"Furnished 2bdrm Apartment in Upper Hill, Upperhill for rent",Upper hill,Upper hill
"3bdrm Apartment in Riara Road, Lavington for rent",Lavington Nairobi,Riara Road
2bdrm Apartment in Uthiru for Rent,Naivasha Road,Uthiru
"5bdrm Townhouse / Terrace in Section 9 Near, Thika for rent",THIKA SECTION 9,SECTION 9 NEAR MUGUMOINI PRIMARY
1bdrm Apartment in Kikuyu for rent,Kidfarmaco,"80
     
      sqm"
"2bdrm Apartment in Gatundu Road, Kileleshwa for rent",Kileleshwa Nairobi,GATUNDU ROAD
"2bdrm Apartment in Othaya Road, Kileleshwa for rent",Kileleshwa Nairobi,OTHAYA ROAD
"3bdrm Apartment in Muguku, Kikuyu for Rent",kikuyu town,Muguku
"Furnished Studio Apartment in Guest Inn, Naivasha for rent",Guest inn,Guest inn
3bdrm Apartment in South C for rent,south c,south c
"Furnished 2bdrm Apartment in Kings Serenity, Ongata Rongai for rent","Opposite ORCC, Ongata Rongai, Namanga Road",Kings Serenity
3bdrm Apartment in Valley Arcade for rent,Lavington,"100
     
      sqm"
"Furnished 2bdrm Apartment in Behind City Mall, Nyali Mkomani for rent",Links road,Behind City mall
5bdrm Maisonette in Lavington for rent,Near by Lavington Mall,"250
     
      sqm"
2bdrm Apartment in Langata for rent,Deliverance,"70
     
      sqm"
"2bdrm Apartment in Kirigiti, Kiambu / Kiambu  for rent",Kirigiti Kiambi,Kirigiti
2bdrm Apartment in South C for rent,South C,South c
"Newly Renovated 2 Bedrooms at 40,000",Gadhi Avenue,Fairly Used
5bdrm Maisonette in Kitengela for rent,Kitengela,Kitengela
3bdrm Apartment in Kileleshwa for rent,Kileleshwa Nairobi,Kileleshwa
"Studio Apartment in Riruta Nest, Kawangware 46 for Rent",Riruta nest,Riruta nest
"3bdrm Mansion in Harambe Estate, Nyali for rent",Nyali Harambe estate,Harambe estate
3bdrm Apartment in Thindigua for rent,Kiambu road,Thindigua
1bdrm Apartment in Ruaka for rent,Church Hill Rd,"700
     
      sqm"
Furnished 1bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
2bdrm Apartment in Kileleshwa for rent,Gatundu rd,"100
     
      sqm"
"4bdrm Apartment in Shopping Center, Nairobi West for rent",Nairobi west,Shopping center
"2bdrm Apartment in Wambui Court, Kiambu / Kiambu  for rent",Kirigiti,Wambui Court
5bdrm Maisonette in Nyali for rent,Links road,"5000
     
      sqm"
"3bdrm Bungalow in Kalimoni, Juja for rent",Kalimoni,Kalimoni
"1bdrm Apartment in Riruta, Ngina Road, for rent","GOSHEN HOMES, RIRUTA","RIRUTA, NGINA ROAD, OFF NAIVASHA ROAD"
Mini Flat in Kiambu Town Near for rent,Kiambu Town,Kiambu Town Near Kiambu Mall
"4bdrm Townhouse / Terrace in Chalbi Drive, Lavington for rent",Lavington Nairobi,Chalbi Drive
4bdrm Townhouse / Terrace in Thika Section 9 for rent,Section 9 behind Thika nursing,Thika Section 9
1bdrm Apartment in Langata for Rent,langta,"80
     
      sqm"
"1bdrm Bedsitter in Safaricom 2, Kitengela for rent",Kitengela,Safaricom 2
3bdrm Apartment in Kileleshwa for rent,kileleshwa,"212
     
      sqm"
"Furnished 3bdrm Apartment in Bandari, Nyali for Rent",utalii road,Bandari
"1bdrm Apartment in Ngongroad Near, Dagoretti for rent",Ngongroad near junction,Ngongroad near junction
5bdrm Villa in Kileleshwa for rent,Nyeri road,Kileleshwa
2bdrm Apartment in South C for rent,South c,South c
2bdrm Apartment in Westlands for rent,school lane,"100
     
      sqm"
4bdrm Maisonette in Karen for rent,Karen,"280
     
      sqm"
Furnished 2bdrm Apartment in Kilimani for rent,Off Naivasha rd,Kilimani
3bdrm Apartment in Nyali for rent,off links road,"2800
     
      sqm"
Furnished 1bdrm Apartment in Westlands for Rent,Westlands Road,Newly-Built
1bdrm House in BuruBuru for Rent,100,Renovated
4bdrm Mansion in Karen for Rent,Karen,Karen
2bdrm Apartment in South C for Rent,Dafam,Renovated
"3bdrm Apartment in Near Riara, Mbagathi Way for rent",Mbagathi,Near Riara university.
2bdrm Apartment in Kilimani for Rent,MARCUS GARVEY ROAD,"100
     
      sqm"
3bdrm Apartment in South B for Rent,South B,Renovated
"Mini Flat in Eastern Block, Juja for rent",,Eastern block
3bdrm Apartment in Kileleshwa for Rent,Kileleshwa Nairobi,Kileleshwa
"1bdrm Bedsitter in Mradi Opposite, Embakasi for rent",Embakasi Mradi opposite Skyline estate,Mradi opposite Skyline estate
Furnished 2bdrm Apartment in Westlands for rent,CHURCH ROAD,"120
     
      sqm"
"1bdrm Block of Flats in Gorofa, Nakuru Town East for rent",Pipeline,Gorofa
3bdrm Bungalow in Ngong for rent,Bondeni,"200
     
      sqm"
Mini Flat in Membley Estate for rent,Thika road Membley estate,Membley estate
Furnished 3bdrm Apartment in Kilimani for Rent,KINDARUMA ROAD,"120
     
      sqm"
Studio Apartment in South B for rent,South b,South b
1bdrm Apartment in Kinoo for rent,kinoo-87,Kinoo
1bdrm Apartment in Umoja In Kiambu for rent,Kiambu Umoja,Umoja in Kiambu
